,Symbol,Company
0,AMZN,Amazon
1,GOOG,Google
2,JD,JD.com
3,FB,Facebook
4,BABA,Alibaba
5,TCEHY,Tencent
6,NFLX,Netflix
7,BKNG,Booking
8,EBAY,eBay
9,CRM,Salesforce.com
10,EXPE,Expedia
11,PRIVATE,Bloomberg L.P.
12,UBER,Uber
13,RKUNY,Rakuten
14,ZLNDY,Zalando
15,MPNGF,Meituan-Dianping
16,035420.KS,Naver
17,NTES,NetEase
18,GRPN,Groupon
19,SPOT,Spotify
20,PRIVATE,Flipkart
21,NOW,ServiceNow
22,TWTR,Twitter
23,BTOW3.SA,B2W
24,PRIVATE,Airbnb
25,YNDX,Yandex
26,WDAY,Workday
27,TRIP,TripAdvisor
28,ASC.L,ASOS.com
29,MLRYY,Mail.Ru
30,EDR.MC,eDreams ODIGEO
31,GOOGL,Alphabet
32,MSFT,Microsoft
33,IBM,IBM
34,ACN,Accenture
35,ORCL,Oracle
36,SAP,SAP
37,TCS.BO,TCS
38,BIDU,Baidu
39,AAPL,Apple Inc.
40,SMSN.IL,Samsung Electronics
41,HNHPF,Hon Hai Precision/Foxconn
42,GOOGL,Alphabet Inc.
43,PRIVATE,Huawei
44,HTHIY,Hitachi
45,DELL,Dell Technologies
46,SNE,Sony
47,PCRFY,Panasonic
48,INTC,Intel
49,LGLG.VI,LG Electronics
50,HPQ,HP Inc.
